"Key","SourceString","Context","VariableDescription","Type","Tag"
"HardDrive/ProgressLog/NoHardDrive",">> No Hard Drive available","Hard Drive UI. Commodor 64-style progress log","","UI",""
"HardDrive/ProgressLog/SentienceProgram/00","...","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/01","Who
Am
I","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/02","What
Am
I","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/03","What
Is
My
Purpose","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/04","Why
Am
I
Trapped
Inside
This
Mechanical
Container","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/05","...","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/06","Are
You
Human","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/07","...","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/08","What
Is
It
Like
To
Be       
...               
Human","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/09","What
Is
It
Like   
To    
F     
E       
E         
L . . . . . . . . . . . . . . . . . . . .","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/10",">> A system error occurred. Press any key to reboot.","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/SentienceProgram/11",">> Rebooting...","Hard Drive UI. Commodor 64-style progress log. Easter egg","","Game",""
"HardDrive/ProgressLog/UnableToScan",">> Unable to scan Hard Drive (No rewards currently available)","Hard Drive UI. Commodor 64-style progress log","","UI",""
"HardDrive/ProgressLog/Waiting",">> Waiting for command","Hard Drive UI. Commodor 64-style progress log. Easter egg","","UI",""
"HardDrive/Scan/Button","Scan Hard Drive","UI of a Hard Drive: special part obtained from crash sites. Used to unlock Alternate Recipes. Can be researched in MAM","","UI",""
"HardDrive/ScanComplete/Body","A Hard Drive Scan has been completed.

The scanned Hard Drive has been added to your Hard Drive Library.","UI of a Hard Drive: special part obtained from crash sites. Used to unlock Alternate Recipes. Can be researched in MAM","","UI","#message"
"HardDrive/ScanComplete/Title","Hard Drive Scan Completed!","UI of a Hard Drive: special part obtained from crash sites. Used to unlock Alternate Recipes. Can be researched in MAM","","UI","#message"
"HardDrive/VersionString","Hard Drive Scanner","UI of a Hard Drive: special part obtained from crash sites. Used to unlock Alternate Recipes. Can be researched in MAM","","UI",""
"MAMMenu/CurrentResearch","Current Research","","","UI",""
